GAME_DATE,MATCHUP
2017-10-21,CHI vs. SAS
2017-10-26,CHI vs. ATL
2017-10-28,CHI vs. OKC
2017-11-04,CHI vs. NOP
2017-11-10,CHI vs. IND
2017-11-17,CHI vs. CHA
2017-11-26,CHI vs. MIA
2017-11-28,CHI vs. PHX
2017-12-01,CHI vs. SAC
2017-12-04,CHI vs. CLE
2017-12-09,CHI vs. NYK
2017-12-11,CHI vs. BOS
2017-12-13,CHI vs. UTA
2017-12-18,CHI vs. PHI
2017-12-20,CHI vs. ORL
2017-12-27,CHI vs. NYK
2017-12-29,CHI vs. IND
2018-01-01,CHI vs. POR
2018-01-03,CHI vs. TOR
2018-01-08,CHI vs. HOU
2018-01-13,CHI vs. DET
2018-01-15,CHI vs. MIA
2018-01-17,CHI vs. GSW
2018-01-26,CHI vs. LAL
2018-01-28,CHI vs. MIL
2018-02-09,CHI vs. MIN
2018-02-10,CHI vs. WAS
2018-02-12,CHI vs. ORL
2018-02-14,CHI vs. TOR
2018-02-22,CHI vs. PHI
2018-03-02,CHI vs. DAL
2018-03-05,CHI vs. BOS
2018-03-07,CHI vs. MEM
2018-03-13,CHI vs. LAC
2018-03-17,CHI vs. CLE
2018-03-21,CHI vs. DEN
2018-03-23,CHI vs. MIL
2018-04-01,CHI vs. WAS
2018-04-03,CHI vs. CHA
2018-04-07,CHI vs. BKN
2018-04-11,CHI vs. DET
2018-10-20,CHI vs. DET
2018-10-24,CHI vs. CHA
2018-10-29,CHI vs. GSW
2018-10-31,CHI vs. DEN
2018-11-02,CHI vs. IND
2018-11-03,CHI vs. HOU
2018-11-10,CHI vs. CLE
2018-11-12,CHI vs. DAL
2018-11-17,CHI vs. TOR
2018-11-21,CHI vs. PHX
2018-11-23,CHI vs. MIA
2018-11-26,CHI vs. SAS
2018-12-07,CHI vs. OKC
2018-12-08,CHI vs. BOS
2018-12-10,CHI vs. SAC
2018-12-19,CHI vs. BKN
2018-12-21,CHI vs. ORL
2018-12-26,CHI vs. MIN
2019-01-02,CHI vs. ORL
2019-01-04,CHI vs. IND
2019-01-06,CHI vs. BKN
2019-01-19,CHI vs. MIA
2019-01-23,CHI vs. ATL
2019-01-25,CHI vs. LAC
2019-01-27,CHI vs. CLE
2019-02-06,CHI vs. NOP
2019-02-09,CHI vs. WAS
2019-02-11,CHI vs. MIL
2019-02-13,CHI vs. MEM
2019-02-23,CHI vs. BOS
2019-02-25,CHI vs. MIL
2019-03-03,CHI vs. ATL
2019-03-06,CHI vs. PHI
2019-03-08,CHI vs. DET
2019-03-12,CHI vs. LAL
2019-03-20,CHI vs. WAS
2019-03-23,CHI vs. UTA
2019-03-27,CHI vs. POR
2019-03-30,CHI vs. TOR
2019-04-06,CHI vs. PHI
2019-04-09,CHI vs. NYK
2019-10-26,CHI vs. TOR
2019-11-01,CHI vs. DET
2019-11-05,CHI vs. LAL
2019-11-09,CHI vs. HOU
2019-11-12,CHI vs. NYK
2019-11-16,CHI vs. BKN
2019-11-18,CHI vs. MIL
2019-11-20,CHI vs. DET
2019-11-22,CHI vs. MIA
2019-11-25,CHI vs. POR
2019-12-04,CHI vs. MEM
2019-12-06,CHI vs. GSW
2019-12-09,CHI vs. TOR
2019-12-11,CHI vs. ATL
2019-12-13,CHI vs. CHA
2019-12-14,CHI vs. LAC
2019-12-28,CHI vs. ATL
2019-12-30,CHI vs. MIL
2020-01-02,CHI vs. UTA
2020-01-04,CHI vs. BOS
2020-01-10,CHI vs. IND
2020-01-15,CHI vs. WAS
2020-01-18,CHI vs. CLE
2020-01-22,CHI vs. MIN
2020-01-24,CHI vs. SAC
2020-01-27,CHI vs. SAS
2020-02-06,CHI vs. NOP
2020-02-20,CHI vs. CHA
2020-02-22,CHI vs. PHX
2020-02-23,CHI vs. WAS
2020-02-25,CHI vs. OKC
2020-03-02,CHI vs. DAL
2020-03-06,CHI vs. IND
2020-03-10,CHI vs. CLE
2020-12-23,CHI vs. ATL
2020-12-26,CHI vs. IND
2020-12-27,CHI vs. GSW
2021-01-03,CHI vs. DAL
2021-01-18,CHI vs. HOU
2021-01-23,CHI vs. LAL
2021-01-25,CHI vs. BOS
2021-01-30,CHI vs. POR
2021-02-01,CHI vs. NYK
2021-02-03,CHI vs. NYK
2021-02-08,CHI vs. WAS
2021-02-10,CHI vs. NOP
2021-02-12,CHI vs. LAC
2021-02-17,CHI vs. DET
2021-02-20,CHI vs. SAC
2021-02-24,CHI vs. MIN
2021-02-26,CHI vs. PHX
2021-03-01,CHI vs. DEN
2021-03-11,CHI vs. PHI
2021-03-12,CHI vs. MIA
2021-03-14,CHI vs. TOR
2021-03-16,CHI vs. OKC
2021-03-17,CHI vs. SAS
2021-03-22,CHI vs. UTA
2021-03-24,CHI vs. CLE
2021-04-04,CHI vs. BKN
2021-04-14,CHI vs. ORL
2021-04-16,CHI vs. MEM
2021-04-17,CHI vs. CLE
2021-04-22,CHI vs. CHA
2021-04-30,CHI vs. MIL
2021-05-03,CHI vs. PHI
2021-05-07,CHI vs. BOS
2021-05-11,CHI vs. BKN
2021-05-13,CHI vs. TOR
2021-05-16,CHI vs. MIL
2021-10-22,CHI vs. NOP
2021-10-23,CHI vs. DET
2021-10-28,CHI vs. NYK
2021-10-30,CHI vs. UTA
2021-11-06,CHI vs. PHI
2021-11-08,CHI vs. BKN
2021-11-10,CHI vs. DAL
2021-11-21,CHI vs. NYK
2021-11-22,CHI vs. IND
2021-11-27,CHI vs. MIA
2021-11-29,CHI vs. CHA
2021-12-06,CHI vs. DEN
2021-12-19,CHI vs. LAL
2021-12-20,CHI vs. HOU
2021-12-26,CHI vs. IND
2021-12-29,CHI vs. ATL
2022-01-03,CHI vs. ORL
2022-01-07,CHI vs. WAS
2022-01-11,CHI vs. DET
2022-01-12,CHI vs. BKN
2022-01-14,CHI vs. GSW
2022-01-19,CHI vs. CLE
2022-01-26,CHI vs. TOR
2022-01-30,CHI vs. POR
2022-02-01,CHI vs. ORL
2022-02-06,CHI vs. PHI
2022-02-07,CHI vs. PHX
2022-02-11,CHI vs. MIN
2022-02-12,CHI vs. OKC
2022-02-14,CHI vs. SAS
2022-02-16,CHI vs. SAC
2022-02-24,CHI vs. ATL
2022-02-26,CHI vs. MEM
2022-03-04,CHI vs. MIL
2022-03-12,CHI vs. CLE
2022-03-21,CHI vs. TOR
2022-03-31,CHI vs. LAC
2022-04-02,CHI vs. MIA
2022-04-05,CHI vs. MIL
2022-04-06,CHI vs. BOS
2022-04-08,CHI vs. CHA
2022-10-22,CHI vs. CLE
2022-10-24,CHI vs. BOS
